Table 1
qmof_id,solvent_stability,,Stable
qmof-d6024b8,0.79,,qmof-d6024b8
qmof-31585f8,0.79,,qmof-31585f8
qmof-096bf27,0.79,,qmof-096bf27
qmof-a758683,0.79,,qmof-a758683
qmof-625c1df,0.79,,qmof-625c1df
qmof-417c826,0.78,,qmof-417c826
qmof-4695aa0,0.78,,qmof-4695aa0
qmof-8333f8b,0.78,,qmof-8333f8b
qmof-efedb54,0.77,,qmof-efedb54
qmof-14a36ed,0.77,,qmof-14a36ed
qmof-25172f2,0.77,,qmof-25172f2
qmof-ef011df,0.77,,qmof-ef011df
qmof-cd1371c,0.76,,qmof-cd1371c
qmof-db61142,0.76,,qmof-db61142
qmof-6a29cfc,0.76,,qmof-6a29cfc
qmof-dbd5be4,0.76,,qmof-dbd5be4
qmof-648d493,0.76,,qmof-648d493
qmof-a5a3523,0.75,,qmof-a5a3523
qmof-05cc789,0.75,,qmof-05cc789
qmof-c924489,0.75,,qmof-c924489
qmof-e2185c7,0.75,,qmof-e2185c7
qmof-81886cf,0.75,,qmof-81886cf
qmof-aa8159f,0.75,,qmof-aa8159f
qmof-eda34e0,0.75,,qmof-eda34e0
qmof-277fc99,0.75,,qmof-277fc99
qmof-e99de19,0.75,,qmof-e99de19
qmof-17e43c6,0.75,,qmof-17e43c6
qmof-55ae928,0.75,,qmof-55ae928
qmof-1749614,0.75,,qmof-1749614
qmof-ca4b8ca,0.74,,qmof-ca4b8ca
qmof-96f2489,0.74,,qmof-96f2489
qmof-a40de84,0.74,,qmof-a40de84
qmof-99d7983,0.74,,qmof-99d7983
qmof-34239b6,0.74,,qmof-34239b6
qmof-b3220dc,0.73,,qmof-b3220dc
qmof-1281756,0.73,,qmof-1281756
qmof-9ef6fed,0.73,,qmof-9ef6fed
qmof-8f8e33d,0.72,,qmof-8f8e33d
qmof-aa922ec,0.72,,qmof-aa922ec
qmof-b078db5,0.71,,qmof-b078db5
qmof-14375bc,0.70,,qmof-14375bc
qmof-3133b45,0.70,,qmof-3133b45
qmof-6032da7,0.69,,qmof-6032da7
qmof-7afda5b,0.67,,qmof-7afda5b
qmof-95e9665,0.67,,qmof-95e9665
qmof-ee8825a,0.66,,qmof-ee8825a
qmof-2264c2b,0.66,,qmof-2264c2b
qmof-47c6a17,0.65,,qmof-47c6a17
qmof-b050ede,0.64,,qmof-b050ede
qmof-b8bfbdd,0.64,,qmof-b8bfbdd
qmof-a8ea913,0.64,,qmof-a8ea913
qmof-16de531,0.63,,qmof-16de531
qmof-bd7e56c,0.62,,qmof-bd7e56c
qmof-38ae9d1,0.62,,qmof-38ae9d1
qmof-28498f0,0.62,,qmof-28498f0
qmof-8b975ac,0.62,,qmof-8b975ac
qmof-62058f7,0.62,,qmof-62058f7
qmof-e2ef939,0.62,,qmof-e2ef939
qmof-26670ca,0.62,,qmof-26670ca
qmof-ba7bac6,0.62,,qmof-ba7bac6
qmof-f45cbc6,0.61,,qmof-f45cbc6
qmof-c1bc002,0.61,,qmof-c1bc002
qmof-7269376,0.61,,qmof-7269376
qmof-5029b9d,0.60,,qmof-5029b9d
qmof-7163ed4,0.60,,qmof-7163ed4
qmof-5f3c10f,0.59,,qmof-5f3c10f
qmof-db4af19,0.59,,qmof-db4af19
qmof-20fe6b8,0.59,,qmof-20fe6b8
qmof-cca3b22,0.59,,qmof-cca3b22
qmof-02c07e3,0.58,,qmof-02c07e3
qmof-358ca87,0.58,,qmof-358ca87
qmof-00ce800,0.58,,qmof-00ce800
qmof-bec91df,0.57,,qmof-bec91df
qmof-340b60d,0.56,,qmof-340b60d
qmof-3b54739,0.56,,qmof-3b54739
qmof-c4cc8a9,0.56,,qmof-c4cc8a9
qmof-44d0651,0.55,,qmof-44d0651
qmof-1cd4692,0.55,,qmof-1cd4692
qmof-0180057,0.55,,qmof-0180057
qmof-4687641,0.54,,qmof-4687641
qmof-5ea5aaa,0.54,,qmof-5ea5aaa
qmof-978268d,0.53,,qmof-978268d
qmof-84d13b7,0.51,,qmof-84d13b7
qmof-4581200,0.51,,qmof-4581200
qmof-3cb39d1,0.50,,qmof-3cb39d1
qmof-a9e277d,0.50,,qmof-a9e277d
qmof-e46920d,0.5,,qmof-e46920d
qmof-63a1c88,0.49,,
qmof-de5d995,0.49,,
qmof-275ec22,0.49,,
qmof-f5afc17,0.49,,
qmof-b5538fe,0.48,,
qmof-adb2c4d,0.48,,
qmof-c203444,0.48,,
qmof-a1a9bc1,0.48,,
qmof-deb66d6,0.48,,
qmof-95aa0a6,0.47,,
qmof-ce29e59,0.46,,
qmof-0e9f38c,0.46,,
qmof-f944e8f,0.46,,
qmof-8ce7163,0.46,,
qmof-f6132be,0.46,,
qmof-5610288,0.46,,
qmof-3019c97,0.46,,
qmof-2c0fa92,0.45,,
qmof-26d0da3,0.45,,
qmof-a517cdf,0.44,,
qmof-87d4896,0.44,,
qmof-7e2180f,0.43,,
qmof-fbd219f,0.43,,
qmof-d73089e,0.43,,
qmof-b1020c2,0.42,,
qmof-7df7140,0.41,,
qmof-8d258c7,0.41,,
qmof-749e21d,0.41,,
qmof-4fb74dd,0.40,,
qmof-85b14f2,0.40,,
qmof-86dd367,0.40,,
qmof-223436e,0.39,,
qmof-2522b56,0.39,,
qmof-0aa02b3,0.38,,
qmof-3a95f6e,0.38,,
qmof-2f5ad9e,0.37,,
qmof-1033c27,0.37,,
qmof-e29ce6a,0.36,,
qmof-900fee9,0.36,,
qmof-d55908c,0.36,,
qmof-f8b1ac0,0.35,,
qmof-72d9af1,0.35,,
qmof-8ab12fe,0.34,,
qmof-0e62149,0.34,,
qmof-905c032,0.34,,
qmof-beb7ad4,0.34,,
qmof-c522b2f,0.33,,
qmof-9f315fd,0.33,,
qmof-4410553,0.32,,
qmof-6bee764,0.32,,
qmof-4c6786c,0.32,,
qmof-a075109,0.32,,
qmof-eb3d8ac,0.31,,
qmof-a328797,0.30,,
qmof-991279b,0.30,,
qmof-acf445e,0.29,,
qmof-b589eac,0.29,,
qmof-3183880,0.29,,
qmof-72eef08,0.29,,
qmof-a85f0c7,0.29,,
qmof-9489acc,0.28,,
qmof-27baed2,0.28,,
qmof-ee72547,0.28,,
qmof-87fd469,0.28,,
qmof-5689ec9,0.28,,
qmof-6585ef5,0.28,,
qmof-cda9fd1,0.27,,
qmof-6a667dc,0.27,,
qmof-6f52c47,0.26,,
qmof-887c43e,0.26,,
qmof-535bd24,0.26,,
qmof-13889cb,0.24,,
qmof-5c10c69,0.23,,
qmof-41074b5,0.22,,
qmof-c7521fe,0.22,,
qmof-fbac6ec,0.22,,
qmof-91374f9,0.19,,
qmof-b405c94,0.18,,
qmof-a5fc466,0.18,,
qmof-05f7938,0.18,,
qmof-3957f91,0.17,,
qmof-68f3526,0.16,,
qmof-7809ccb,0.16,,
qmof-3d5b416,0.16,,
qmof-4b1ef88,0.16,,
qmof-0c2ac6d,0.15,,
qmof-c861c48,0.15,,
qmof-f784df1,0.14,,
qmof-c0331cb,0.14,,
qmof-f6c7d9d,0.13,,
qmof-b0402ac,0.13,,
qmof-7152813,0.12,,
qmof-b5b8b3e,0.12,,
qmof-107287b,0.12,,
qmof-f22a7c6,0.11,,
qmof-8ce8e0e,0.11,,
qmof-5d1e419,0.11,,
qmof-fbe2618,0.1,,
qmof-f7d0925,0.10,,
qmof-b2e3944,0.09,,
qmof-5091dcd,0.09,,
qmof-d3a50cb,0.09,,
qmof-897ea77,0.09,,
qmof-acc6761,0.08,,
qmof-11baec4,0.08,,
qmof-fd83467,0.07,,
qmof-0116630,0.07,,
qmof-be7f13b,0.07,,
qmof-08cbfe6,0.07,,
qmof-64fe339,0.06,,
qmof-b544b11,0.06,,
qmof-dc2251f,0.05,,
qmof-3611f73,0.04,,
qmof-be293f1,0.03,,
qmof-705b6ab,0.03,,
qmof-8bfe542,0.03,,
qmof-73beffd,0.02,,
qmof-5b07106,0.02,,
qmof-03c6ba9,0.01,,
qmof-fa851e5,0.01,,
qmof-ecd87e5,0.01,,
qmof-ba8f2fc,0,Fail,
qmof-7131987,0,Fail,
qmof-68b670c,0,Fail,
qmof-b20f8f8,0,Fail,
qmof-e829283,0,Fail,
qmof-c5bcd42,0,Fail,
qmof-dc95e92,0,Fail,
qmof-72168ad,0,Fail,
qmof-b094b1a,0,Fail,
qmof-d76ea7b,0,Fail,
qmof-f32e851,0,Fail,
qmof-cbc1066,0,Fail,
qmof-60a69f9,0,Fail,
qmof-5797937,0,Fail,
qmof-fd22e48,0,Fail,
qmof-302ad52,0,Fail,
qmof-e1625e5,0,Fail,
qmof-1c9f47e,0,Fail,
qmof-8b5a121,0.00,,
qmof-cd53be1,0.00,,
qmof-47472ea,0.00,,
qmof-fb9d854,0,Fail,
qmof-c71ff49,0,Fail,
qmof-f199346,0,Fail,
qmof-7981a75,0,Fail,
qmof-d8336ab,0,Fail,
qmof-9797bb7,0,Fail,
qmof-1a6432f,0,Fail,
qmof-6b15eae,0,Fail,
qmof-984892e,0,Fail,
qmof-b265206,0,Fail,
qmof-c6e68a4,0,Fail,
qmof-e44a050,0,Fail,
qmof-4268a9c,0,Fail,
