qmof_id,info.pld,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap,water,solvent,synthesized
qmof-5ea5aaa,5.06017,0.619317,-1.689758,2.309075,0.64,0.54,
qmof-8b9a87d,5.19173,0.7243299999999999,-2.031845,2.756175,0.66,0.8,yes
qmof-6542f77,6.17786,0.87778,-1.533479,2.411259,0.57,0.84,
qmof-16de531,6.90979,0.481616,-2.326326,2.807942,0.63,0.63,
qmof-c4cc8a9,4.5032,0.845172,-2.120765,2.9659370000000003,0.63,0.56,yes
qmof-bf9ccaf,5.28897,0.519761,-1.256805,1.776566,0.77,0.87,yes
qmof-1cc623d,6.4073,0.513122,-2.234098,2.74722,0.57,0.92,yes
qmof-918e13a,5.34491,0.439664,-2.184175,2.623839,0.74,0.82,
qmof-314b14f,4.83732,0.405067,-2.441919,2.846986,0.51,0.85,yes
qmof-7269376,4.92924,1.46158,-1.02804,2.48962,0.85,0.61,yes
qmof-b3220dc,4.60417,0.3463739999999999,-2.557039,2.903413,0.84,0.73,
qmof-db61142,4.9417,1.034367,-0.749725,1.784092,0.53,0.76,yes
qmof-44fa197,4.53471,0.59977,-1.136212,1.735982,0.83,0.82,
qmof-9e05c25,6.72578,0.399051,-2.014269,2.41332,0.62,0.84,
qmof-1749614,5.48357,0.1435719999999999,-2.769791,2.913363,0.73,0.75,yes
qmof-7d5de5b,5.07629,1.447839,-0.8702,2.318039,0.63,0.85,yes
qmof-ef011df,5.89562,2.05406,-0.517595,2.571655,0.92,0.77,yes
qmof-4d0c1e9,5.19562,0.417243,-2.305765,2.723008,0.57,0.83,yes
qmof-b8bfbdd,6.08154,0.824902,-1.508205,2.333107,0.62,0.64,
qmof-e381eec,6.67284,0.241364,-2.378529,2.619893,0.66,0.89,
qmof-aaa921d,10.03385,0.4047699999999999,-2.412756,2.817526,0.57,0.86,yes
qmof-277fc99,4.73797,0.1941639999999999,-1.942591,2.136755,0.64,0.75,yes
qmof-84d13b7,5.78319,0.644195,-2.127336,2.771531,0.69,0.51,
qmof-28acf7f,4.50927,0.593556,-2.049965,2.643521,0.53,0.97,
qmof-8169402,5.62846,0.606391,-2.189447,2.795838,0.69,0.85,yes
qmof-dbdc93d,6.84425,0.206094,-2.532688,2.738782,0.53,0.92,yes
qmof-9314947,6.58518,0.188709,-2.66007,2.848779,0.71,0.87,
qmof-e6adc28,7.65318,0.352253,-2.028583,2.380836,0.78,0.91,yes
qmof-ed987cc,6.66049,0.864621,-1.799363,2.663984,0.54,0.87,yes
qmof-9ef6fed,5.58517,0.145644,-1.920283,2.065927,0.52,0.73,
qmof-68e1336,5.58646,1.293993,-1.346417,2.64041,0.94,0.95,yes
qmof-17e43c6,4.8999,1.114211,-0.672078,1.786289,0.52,0.75,yes
qmof-0f515e2,5.40228,0.22784,-2.276787,2.504627,0.63,0.95,
qmof-3ce4a78,4.82718,0.1923609999999999,-2.522267,2.714628,0.82,0.84,
qmof-25172f2,5.93135,1.277638,-1.703347,2.980985,0.56,0.77,
qmof-ba7bac6,9.51568,0.724315,-1.946578,2.670893,0.88,0.62,yes
qmof-6a29cfc,6.76574,0.13043,-2.36633,2.49676,0.64,0.76,
qmof-f5056a0,15.68117,0.433257,-2.433185,2.866442,0.53,0.89,
qmof-7c0089b,5.65695,1.131047,-1.002069,2.133116,0.6,0.88,yes
qmof-7964502,4.94223,0.238805,-2.674257,2.913062,0.84,0.84,
qmof-0180057,4.56555,1.276318,-0.518174,1.794492,0.69,0.55,yes
qmof-bec2181,5.00103,0.410368,-2.572197,2.982565,0.54,0.85,yes
qmof-8ec55e0,6.25077,0.98781,-1.66973,2.65754,0.6,0.84,yes
qmof-d159ad9,4.51599,0.915658,-1.025631,1.941289,0.85,0.86,
qmof-55b32f8,6.22837,0.500692,-1.977295,2.477987,0.55,0.83,yes
qmof-358ca87,7.15933,0.3964729999999999,-2.452292,2.848765,0.62,0.58,
qmof-49ea619,7.36312,0.2798929999999999,-2.473751,2.753644,0.64,0.84,
qmof-b80a30e,5.41118,1.968565,-0.29501,2.263575,0.76,0.87,yes
qmof-648d493,4.92447,1.050303,-0.7347699999999999,1.785073,0.52,0.76,yes
qmof-0a980e2,7.17729,0.309215,-2.525992,2.835207,0.61,0.88,
qmof-ca4b8ca,4.52586,0.508731,-2.066352,2.575083,0.84,0.74,
qmof-e99de19,4.90403,1.112844,-0.672213,1.785057,0.54,0.75,yes
qmof-5ce2533,5.68602,0.327606,-2.32692,2.654526,0.57,0.82,yes
qmof-24fb653,7.1424,0.4538149999999999,-1.829753,2.283568,0.73,0.82,
qmof-7163ed4,6.00113,0.944357,-1.95652,2.900877,0.63,0.6,
qmof-62058f7,8.97652,0.676743,-2.234364,2.911107,0.72,0.62,yes
qmof-625c1df,6.09329,0.379587,-2.104343,2.48393,0.84,0.79,yes
qmof-5b20bb3,6.44405,0.618519,-2.153182,2.771701,0.56,0.87,yes
qmof-d77d3f0,11.24651,0.293935,-2.641735,2.93567,0.64,0.9,yes
qmof-77442e8,4.78409,0.155553,-2.51215,2.667703,0.87,0.85,
qmof-523c57d,6.00039,2.030712,-0.174166,2.204878,0.71,0.85,yes
qmof-18ceb78,7.19451,0.347483,-1.967958,2.315441,0.62,0.84,
qmof-a33f06a,4.74507,0.601908,-1.921913,2.523821,0.87,0.81,
qmof-b66eff0,7.05486,0.353439,-2.142514,2.495953,0.64,0.89,
