qmof_id,Material ID,CBM Comparison,VBM Comparison,type,core synthesized,mof synthesized,target
qmof-3eec122,mp-542001,higher,higher,2,yes,yes,yes
qmof-3eec122,mp-28845,higher,higher,2,yes,yes,yes
qmof-3eec122,mp-561423,higher,higher,2,yes,yes,yes
qmof-3eec122,mp-14276,higher,higher,2,yes,yes,yes
qmof-3eec122,mp-29590,higher,higher,2,yes,yes,yes
qmof-3eec122,mp-556442,higher,higher,2,yes,yes,yes
qmof-3eec122,mp-27980,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-3414,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-542001,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-28845,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-561423,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-14276,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-29590,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-556442,higher,higher,2,yes,yes,yes
qmof-b1e5ed5,mp-27980,higher,higher,2,yes,yes,yes
qmof-bec91df,mp-3414,lower,lower,2(low),yes,,
qmof-bec91df,mp-542001,lower,higher,2(low),yes,,
qmof-bec91df,mp-28845,lower,lower,2(low),yes,,
qmof-bec91df,mp-561423,higher,higher,2,yes,,
qmof-bec91df,mp-14276,lower,lower,2(low),yes,,
qmof-bec91df,mp-29590,lower,lower,2(low),yes,,
qmof-bec91df,mp-556442,higher,lower,1,yes,,
qmof-bec91df,mp-27980,higher,higher,2,yes,,
qmof-cca3b22,mp-3414,higher,higher,2,yes,,
qmof-cca3b22,mp-542001,lower,higher,2(low),yes,,
qmof-cca3b22,mp-28845,higher,higher,2,yes,,
qmof-cca3b22,mp-561423,higher,higher,2,yes,,
qmof-cca3b22,mp-14276,higher,higher,2,yes,,
qmof-cca3b22,mp-29590,higher,higher,2,yes,,
qmof-cca3b22,mp-556442,higher,higher,2,yes,,
qmof-cca3b22,mp-27980,higher,higher,2,yes,,
qmof-096bf27,mp-3414,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-542001,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-28845,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-561423,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-14276,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-29590,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-556442,higher,higher,2,yes,yes,yes
qmof-096bf27,mp-27980,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-3414,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-542001,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-28845,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-561423,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-14276,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-29590,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-556442,higher,higher,2,yes,yes,yes
qmof-97f5f79,mp-27980,higher,higher,2,yes,yes,yes
qmof-e2185c7,mp-3414,higher,higher,2,yes,,
qmof-e2185c7,mp-542001,lower,higher,2(low),yes,,
qmof-e2185c7,mp-28845,higher,higher,2,yes,,
qmof-e2185c7,mp-561423,higher,higher,2,yes,,
qmof-e2185c7,mp-14276,higher,higher,2,yes,,
qmof-e2185c7,mp-29590,higher,higher,2,yes,,
qmof-e2185c7,mp-556442,higher,higher,2,yes,,
qmof-e2185c7,mp-27980,higher,higher,2,yes,,
qmof-aa8159f,mp-3414,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-542001,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-28845,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-561423,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-14276,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-29590,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-556442,higher,higher,2,yes,yes,yes
qmof-aa8159f,mp-27980,higher,higher,2,yes,yes,yes
qmof-f0c1c90,mp-3414,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-542001,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-28845,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-561423,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-14276,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-29590,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-556442,lower,lower,2(low),yes,yes,yes
qmof-f0c1c90,mp-27980,lower,lower,2(low),yes,yes,yes
qmof-55ae928,mp-3414,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-542001,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-28845,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-561423,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-14276,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-29590,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-556442,higher,higher,2,yes,yes,yes
qmof-55ae928,mp-27980,higher,higher,2,yes,yes,yes
qmof-b078db5,mp-3414,higher,higher,2,yes,,
qmof-b078db5,mp-542001,higher,higher,2,yes,,
qmof-b078db5,mp-28845,higher,higher,2,yes,,
qmof-b078db5,mp-561423,higher,higher,2,yes,,
qmof-b078db5,mp-14276,higher,higher,2,yes,,
qmof-b078db5,mp-29590,higher,higher,2,yes,,
qmof-b078db5,mp-556442,higher,higher,2,yes,,
qmof-b078db5,mp-27980,higher,higher,2,yes,,
qmof-03dce70,mp-3414,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-542001,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-28845,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-561423,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-14276,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-29590,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-556442,higher,higher,2,yes,yes,yes
qmof-03dce70,mp-27980,higher,higher,2,yes,yes,yes
qmof-a758683,mp-3414,higher,higher,2,yes,,
qmof-a758683,mp-542001,lower,higher,2(low),yes,,
qmof-a758683,mp-28845,higher,higher,2,yes,,
qmof-a758683,mp-561423,higher,higher,2,yes,,
qmof-a758683,mp-14276,higher,higher,2,yes,,
qmof-a758683,mp-29590,higher,higher,2,yes,,
qmof-a758683,mp-556442,higher,higher,2,yes,,
qmof-a758683,mp-27980,higher,higher,2,yes,,
qmof-ba63d77,mp-3414,higher,lower,1,yes,,
qmof-ba63d77,mp-542001,higher,higher,2,yes,,
qmof-ba63d77,mp-28845,higher,higher,2,yes,,
qmof-ba63d77,mp-561423,higher,higher,2,yes,,
qmof-ba63d77,mp-14276,higher,lower,1,yes,,
qmof-ba63d77,mp-29590,higher,higher,2,yes,,
qmof-ba63d77,mp-556442,higher,higher,2,yes,,
qmof-ba63d77,mp-27980,higher,higher,2,yes,,
qmof-4695aa0,mp-3414,higher,higher,2,yes,,
qmof-4695aa0,mp-542001,higher,higher,2,yes,,
qmof-4695aa0,mp-28845,higher,higher,2,yes,,
qmof-4695aa0,mp-561423,higher,higher,2,yes,,
qmof-4695aa0,mp-14276,higher,higher,2,yes,,
qmof-4695aa0,mp-29590,higher,higher,2,yes,,
qmof-4695aa0,mp-556442,higher,higher,2,yes,,
qmof-4695aa0,mp-27980,higher,higher,2,yes,,
qmof-537f47f,mp-3414,higher,lower,1,yes,,
qmof-537f47f,mp-542001,higher,higher,2,yes,,
qmof-537f47f,mp-28845,higher,higher,2,yes,,
qmof-537f47f,mp-561423,higher,higher,2,yes,,
qmof-537f47f,mp-14276,higher,lower,1,yes,,
qmof-537f47f,mp-29590,higher,higher,2,yes,,
qmof-537f47f,mp-556442,higher,higher,2,yes,,
qmof-537f47f,mp-27980,higher,higher,2,yes,,
qmof-58a8f42,mp-3414,lower,lower,2(low),yes,yes,yes
qmof-58a8f42,mp-542001,lower,higher,2(low),yes,yes,yes
qmof-58a8f42,mp-28845,lower,higher,2(low),yes,yes,yes
qmof-58a8f42,mp-561423,higher,higher,2,yes,yes,yes
qmof-58a8f42,mp-14276,lower,lower,2(low),yes,yes,yes
qmof-58a8f42,mp-29590,lower,higher,2(low),yes,yes,yes
qmof-58a8f42,mp-556442,higher,higher,2,yes,yes,yes
qmof-58a8f42,mp-27980,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-3414,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-542001,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-28845,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-561423,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-14276,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-29590,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-556442,higher,higher,2,yes,yes,yes
qmof-26670ca,mp-27980,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-3414,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-542001,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-28845,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-561423,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-14276,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-29590,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-556442,higher,higher,2,yes,yes,yes
qmof-05cc789,mp-27980,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-3414,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-542001,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-28845,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-561423,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-14276,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-29590,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-556442,higher,higher,2,yes,yes,yes
qmof-a5a3523,mp-27980,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-3414,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-542001,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-28845,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-561423,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-14276,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-29590,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-556442,higher,higher,2,yes,yes,yes
qmof-8333f8b,mp-27980,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-3414,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-542001,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-28845,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-561423,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-14276,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-29590,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-556442,higher,higher,2,yes,yes,yes
qmof-aa12b02,mp-27980,higher,higher,2,yes,yes,yes
qmof-361324a,mp-3414,lower,lower,2(low),yes,,
qmof-361324a,mp-542001,lower,lower,2(low),yes,,
qmof-361324a,mp-28845,lower,lower,2(low),yes,,
qmof-361324a,mp-561423,lower,lower,2(low),yes,,
qmof-361324a,mp-14276,lower,lower,2(low),yes,,
qmof-361324a,mp-29590,lower,lower,2(low),yes,,
qmof-361324a,mp-556442,lower,lower,2(low),yes,,
qmof-361324a,mp-27980,lower,higher,2(low),yes,,
qmof-9b8979a,mp-3414,lower,higher,2(low),yes,,
qmof-9b8979a,mp-542001,lower,higher,2(low),yes,,
qmof-9b8979a,mp-28845,lower,higher,2(low),yes,,
qmof-9b8979a,mp-561423,higher,higher,2,yes,,
qmof-9b8979a,mp-14276,lower,higher,2(low),yes,,
qmof-9b8979a,mp-29590,lower,higher,2(low),yes,,
qmof-9b8979a,mp-556442,higher,higher,2,yes,,
qmof-9b8979a,mp-27980,higher,higher,2,yes,,
qmof-4581200,mp-3414,higher,lower,1,yes,,
qmof-4581200,mp-542001,lower,higher,2(low),yes,,
qmof-4581200,mp-28845,higher,lower,1,yes,,
qmof-4581200,mp-561423,higher,higher,2,yes,,
qmof-4581200,mp-14276,higher,lower,1,yes,,
qmof-4581200,mp-29590,higher,lower,1,yes,,
qmof-4581200,mp-556442,higher,lower,1,yes,,
qmof-4581200,mp-27980,higher,higher,2,yes,,
qmof-ee8825a,mp-3414,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-542001,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-28845,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-561423,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-14276,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-29590,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-556442,lower,lower,2(low),yes,yes,yes
qmof-ee8825a,mp-27980,lower,lower,2(low),yes,yes,yes
qmof-b7fb8de,mp-3414,lower,higher,2(low),yes,yes,yes
qmof-b7fb8de,mp-542001,lower,higher,2(low),yes,yes,yes
qmof-b7fb8de,mp-28845,lower,higher,2(low),yes,yes,yes
qmof-b7fb8de,mp-561423,higher,higher,2,yes,yes,yes
qmof-b7fb8de,mp-14276,lower,higher,2(low),yes,yes,yes
qmof-b7fb8de,mp-29590,lower,higher,2(low),yes,yes,yes
qmof-b7fb8de,mp-556442,lower,higher,2(low),yes,yes,yes
qmof-b7fb8de,mp-27980,lower,higher,2(low),yes,yes,yes
qmof-8f5113c,mp-3414,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-542001,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-28845,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-561423,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-14276,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-29590,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-556442,higher,higher,2,yes,yes,yes
qmof-8f5113c,mp-27980,higher,higher,2,yes,yes,yes
qmof-c1bc002,mp-3414,lower,higher,2(low),yes,,
qmof-c1bc002,mp-542001,lower,higher,2(low),yes,,
qmof-c1bc002,mp-28845,lower,higher,2(low),yes,,
qmof-c1bc002,mp-561423,higher,higher,2,yes,,
qmof-c1bc002,mp-14276,lower,higher,2(low),yes,,
qmof-c1bc002,mp-29590,lower,higher,2(low),yes,,
qmof-c1bc002,mp-556442,higher,higher,2,yes,,
qmof-c1bc002,mp-27980,higher,higher,2,yes,,
qmof-c924489,mp-3414,higher,higher,2,yes,,
qmof-c924489,mp-542001,lower,higher,2(low),yes,,
qmof-c924489,mp-28845,higher,higher,2,yes,,
qmof-c924489,mp-561423,higher,higher,2,yes,,
qmof-c924489,mp-14276,higher,higher,2,yes,,
qmof-c924489,mp-29590,higher,higher,2,yes,,
qmof-c924489,mp-556442,higher,higher,2,yes,,
qmof-c924489,mp-27980,higher,higher,2,yes,,
qmof-02d0b18,mp-3414,lower,lower,2(low),yes,,
qmof-02d0b18,mp-542001,lower,higher,2(low),yes,,
qmof-02d0b18,mp-28845,lower,lower,2(low),yes,,
qmof-02d0b18,mp-561423,lower,higher,2(low),yes,,
qmof-02d0b18,mp-14276,lower,lower,2(low),yes,,
qmof-02d0b18,mp-29590,lower,lower,2(low),yes,,
qmof-02d0b18,mp-556442,lower,lower,2(low),yes,,
qmof-02d0b18,mp-27980,lower,higher,2(low),yes,,
qmof-31585f8,mp-3414,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-542001,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-28845,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-561423,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-14276,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-29590,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-556442,higher,higher,2,yes,yes,yes
qmof-31585f8,mp-27980,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-3414,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-542001,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-28845,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-561423,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-14276,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-29590,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-556442,higher,higher,2,yes,yes,yes
qmof-a0717aa,mp-27980,higher,higher,2,yes,yes,yes
qmof-5382407,mp-3414,higher,higher,2,yes,yes,yes
qmof-5382407,mp-542001,higher,higher,2,yes,yes,yes
qmof-5382407,mp-28845,higher,higher,2,yes,yes,yes
qmof-5382407,mp-561423,higher,higher,2,yes,yes,yes
qmof-5382407,mp-14276,higher,higher,2,yes,yes,yes
qmof-5382407,mp-29590,higher,higher,2,yes,yes,yes
qmof-5382407,mp-556442,higher,higher,2,yes,yes,yes
qmof-5382407,mp-27980,higher,higher,2,yes,yes,yes
qmof-d6024b8,mp-3414,lower,lower,2(low),yes,,
qmof-d6024b8,mp-542001,lower,lower,2(low),yes,,
qmof-d6024b8,mp-28845,lower,lower,2(low),yes,,
qmof-d6024b8,mp-561423,higher,lower,1,yes,,
qmof-d6024b8,mp-14276,lower,lower,2(low),yes,,
qmof-d6024b8,mp-29590,lower,lower,2(low),yes,,
qmof-d6024b8,mp-556442,higher,lower,1,yes,,
qmof-d6024b8,mp-27980,higher,higher,2,yes,,
qmof-4e43b18,mp-3414,higher,higher,2,yes,yes,yes
qmof-4e43b18,mp-542001,lower,higher,2(low),yes,yes,yes
qmof-4e43b18,mp-28845,higher,higher,2,yes,yes,yes
qmof-4e43b18,mp-561423,higher,higher,2,yes,yes,yes
qmof-4e43b18,mp-14276,higher,higher,2,yes,yes,yes
qmof-4e43b18,mp-29590,higher,higher,2,yes,yes,yes
qmof-4e43b18,mp-556442,higher,higher,2,yes,yes,yes
qmof-4e43b18,mp-27980,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-3414,higher,higher,2,yes,yes,yes
qmof-2bf3de2,mp-542001,higher,higher,2,yes,yes,yes
