qmof_id,Stability,StabilityScore
qmof-eca5ae4.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
qmof-7cb0c4e.cif,The solvent removal stability prediction is: 0.75. Fairly confident the MOF is stable upon solvent removal.,0.75
qmof-13f8e19.cif,The solvent removal stability prediction is: 0.78. Fairly confident the MOF is stable upon solvent removal.,0.78
qmof-7c00823.cif,"The solvent removal stability prediction is: 0.56. Uncertain, but predict the MOF is stable upon solvent removal.",0.56
qmof-bbbed4f.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-0a464a7.cif,The solvent removal stability prediction is: 0.71. Fairly confident the MOF is stable upon solvent removal.,0.71
qmof-502b122.cif,"The solvent removal stability prediction is: 0.55. Uncertain, but predict the MOF is stable upon solvent removal.",0.55
qmof-5fcd937.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-1c25053.cif,The solvent removal stability prediction is: 0.72. Fairly confident the MOF is stable upon solvent removal.,0.72
qmof-dd8f509.cif,"The solvent removal stability prediction is: 0.46. Uncertain, but predict the MOF is unstable upon solvent removal.",0.46
qmof-beed51c.cif,"The solvent removal stability prediction is: 0.46. Uncertain, but predict the MOF is unstable upon solvent removal.",0.46
qmof-7b4aac2.cif,The solvent removal stability prediction is: 0.36. Fairly confident the MOF is unstable upon solvent removal.,0.36
qmof-fdeb493.cif,The solvent removal stability prediction is: 0.97. Very confident the MOF is stable upon solvent removal.,0.97
qmof-d8e78b2.cif,The solvent removal stability prediction is: 0.14. Very confident the MOF is unstable upon solvent removal.,0.14
qmof-25d399e.cif,The solvent removal stability prediction is: 0.94. Very confident the MOF is stable upon solvent removal.,0.94
qmof-8aba187.cif,The solvent removal stability prediction is: 0.08. Very confident the MOF is unstable upon solvent removal.,0.08
qmof-40d903d.cif,The solvent removal stability prediction is: 0.03. Very confident the MOF is unstable upon solvent removal.,0.03
qmof-c921899.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-ee62841.cif,The solvent removal stability prediction is: 0.75. Fairly confident the MOF is stable upon solvent removal.,0.75
qmof-2a66433.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-02f3753.cif,The solvent removal stability prediction is: 0.84. Very confident the MOF is stable upon solvent removal.,0.84
qmof-09f0270.cif,"The solvent removal stability prediction is: 0.53. Uncertain, but predict the MOF is stable upon solvent removal.",0.53
qmof-56dbe2b.cif,The solvent removal stability prediction is: 0.68. Fairly confident the MOF is stable upon solvent removal.,0.68
qmof-1c69162.cif,The solvent removal stability prediction is: 0.39. Fairly confident the MOF is unstable upon solvent removal.,0.39
qmof-075218d.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-2e2337f.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-00eae24.cif,The solvent removal stability prediction is: 0.61. Fairly confident the MOF is stable upon solvent removal.,0.61
qmof-5bd2003.cif,The solvent removal stability prediction is: 0.74. Fairly confident the MOF is stable upon solvent removal.,0.74
qmof-559f6f4.cif,The solvent removal stability prediction is: 0.01. Very confident the MOF is unstable upon solvent removal.,0.01
qmof-7e0c32f.cif,The solvent removal stability prediction is: 0.82. Very confident the MOF is stable upon solvent removal.,0.82
qmof-5a2471d.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
qmof-dd6dc81.cif,The solvent removal stability prediction is: 0.23. Fairly confident the MOF is unstable upon solvent removal.,0.23
qmof-2b284cb.cif,The solvent removal stability prediction is: 0.12. Very confident the MOF is unstable upon solvent removal.,0.12
qmof-bdbf083.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-8c4b003.cif,The solvent removal stability prediction is: 0.36. Fairly confident the MOF is unstable upon solvent removal.,0.36
qmof-d9daa8e.cif,The solvent removal stability prediction is: 0.05. Very confident the MOF is unstable upon solvent removal.,0.05
qmof-1013282.cif,The solvent removal stability prediction is: 0.68. Fairly confident the MOF is stable upon solvent removal.,0.68
qmof-886ee84.cif,Failed,0.0
qmof-5d740ae.cif,The solvent removal stability prediction is: 0.81. Very confident the MOF is stable upon solvent removal.,0.81
qmof-7f5ffb4.cif,"The solvent removal stability prediction is: 0.43. Uncertain, but predict the MOF is unstable upon solvent removal.",0.43
qmof-c906a20.cif,"The solvent removal stability prediction is: 0.59. Uncertain, but predict the MOF is stable upon solvent removal.",0.59
qmof-f3823e0.cif,"The solvent removal stability prediction is: 0.49. Uncertain, but predict the MOF is unstable upon solvent removal.",0.49
